视源股份(CVTE),1000-9999人,其他行业,,许先生,20-30K,Java中高级开发工程师,/job_detail/bfe91c756c64f4c503R909y_Fls~.html,广州  
金科文化,1000-9999人,互联网,,苏先生,20-35K,C++服务器主程,/job_detail/c0876da63d69a0351XF509y1FFo~.html,广州 天河区 棠下
数字广东,1000-9999人,计算机软件,,管先生,20-40K·14薪,大数据应用项目经理,/job_detail/4e7e2dfca07bace103Z53Nm8GFI~.html,广州 天河区 猎德
SHEIN（南京）,1000-9999人,互联网,,江女士,35-50K,TMS产品专家 (MJ000632),/job_detail/d4eb90bb322ca6361HF509S6GFA~.html,广州 番禺区 南村
绿瘦集团,1000-9999人,医疗健康,,贾先生,20-30K,数据挖掘,/job_detail/50cc2353836a386b1XB83t-4Els~.html,广州 越秀区 东风东
深圳市海云天,500-999人,计算机软件,,王女士,25-35K,高级PHP工程师,/job_detail/3354c7aa5787dd2d1HF539u9FVU~.html,广州 海珠区 客村
博智林机器人,1000-9999人,计算机软件,,全先生,25-50K,高级机器视觉光学工程师,/job_detail/9bce99b30ae29a801Hd80tu7FFM~.html,广州 番禺区 南浦
分米互联,10000人以上,移动互联网,,黄女士,50-80K·13薪,TMS高级产品经理,/job_detail/7fc6e531d65172bd03V-2NS6Elo~.html,广州 海珠区 南洲
阿里巴巴集团,10000人以上,互联网,,谢先生,20-36K,高级前端工程师（杭州）,/job_detail/ede0e59ad411eb6d1nNy2Ny5ElM~.html,广州 越秀区 大东
小鹏汽车,1000-9999人,汽车生产,,何先生,22-28K,Java后台高级工程师（车联平台应用方向）,/job_detail/cc2364a27f8fbc1e1HV92N61E1M~.html,广州 天河区 岑村
壹健康科技,1000-9999人,医疗健康,,梁先生,25-35K,运维副总监,/job_detail/87a33576409b148303R92N68GVo~.html,广州 天河区 东圃
小鹏汽车,1000-9999人,汽车生产,,黄先生,20-40K,后台测试高级工程师/专家,/job_detail/b6add591de299b7b1Xdz39S7Elc~.html,广州 天河区 岑村
中国电信云,1000-9999人,计算机软件,,罗先生,20-40K,高级后端开发工程师（Java）,/job_detail/cf81b8aa4a1a7f131HJ-39m7F1c~.html,广州  
创美药业,500-999人,医疗健康,,王女士,20-40K,运维支持中心总监,/job_detail/c8994d000a2bec141H172di_EVs~.html,广州 南沙区 黄阁
阿里巴巴大文娱,1000-9999人,互联网,,余女士,20-35K,阿里移动 - UC头条前端技术专家,/job_detail/844f5a32897380061n1y0tq7E1o~.html,广州 越秀区 火车站
唯品会,10000人以上,互联网,,林先生,20-40K,搜索个性化算法工程师,/job_detail/01ec2ca9463fd1b103V529u-Fls~.html,广州 荔湾区 芳村
多益网络,1000-9999人,互联网,,王女士,20-40K·14薪,资深游戏原画设计师,/job_detail/f7ce7403a23cece51Hx70tW_GVA~.html,广州  
美的it,10000人以上,计算机软件,,丘女士,20-32K,APS应用主任工程师,/job_detail/114234bef0b6fe571n1z2d6-ElM~.html,广州  
荔枝,500-999人,移动互联网,,何女士,25-45K,技术专家（实时语音通信）,/job_detail/f1e2f6ce857464dc1HB539u0FVo~.html,广州 天河区 棠下
广州明动软件,500-999人,计算机软件,,陈女士,25-50K,系统架构师,/job_detail/7a54e1d7b55c80f71XZ42di5EFs~.html,广州 天河区 长兴
广州虎牙信息,1000-9999人,互联网,,刘先生,25-30K,IDC资源规划专家,/job_detail/231892f7a68de99b1X1y09u-FlY~.html,广州  
BIGO,1000-9999人,移动互联网,,陈女士,25-50K,移动端C++开发工程师,/job_detail/0ef1f5d5228f7d001HN70tq9GVs~.html,广州 番禺区 市桥
网易游戏,10000人以上,游戏,,王女士,25-35K,资深引擎开发工程师,/job_detail/bab10da96b2a23881Xx42Ny-GVA~.html,广州 天河区 珠江新城
甲骨文,10000人以上,计算机软件,,张女士,20-40K,ERP项目经理（实施服务部）,/job_detail/8cd8558e3d366bed03Zy3N66F1I~.html,广州 天河区 珠江新城
荔枝,500-999人,移动互联网,,韦先生,20-30K,高级iOS开发工程师,/job_detail/4a6174b09cbc776303Z809u8FlE~.html,广州 天河区 棠下
4399,1000-9999人,游戏,,王女士,20-30K,U3D主程,/job_detail/62381735047ad7371HV-3dy1EVU~.html,广州 天河区 岗顶
酷狗音乐,1000-9999人,互联网,,梁女士,23-45K,后端开发工程师（个性推荐）,/job_detail/2420440079a8080f1Hx42dW_FVo~.html,广州 天河区 棠下
小鹏汽车,1000-9999人,汽车生产,,陈女士,25-50K,信息发布系统与客服支撑系统研发专家,/job_detail/6c5eee05e50e54b31HF52Nq8ElQ~.html,广州 天河区 岑村
云徙科技公司,500-999人,互联网,,布女士,25-35K,技术经理,/job_detail/5be313fafcb24b1a1HN_2Nu1FFU~.html,广州 黄埔区 鱼珠
虎牙直播,1000-9999人,互联网,,荣女士,25-50K,Android开发工程师,/job_detail/0b85730e3c941bbd1HB-39u6F1E~.html,广州  
小鹏汽车,1000-9999人,汽车生产,,陈女士,20-40K,云平台(Kubernetes)资深工程师/专家,/job_detail/7a9ff013749294d203V60tW-Elo~.html,广州 天河区 岑村
触宝科技,500-999人,互联网,,马女士,25-35K·14薪,资深后端工程师（python）,/job_detail/3d7b712f2d2c7d2e1Hx43t27GVs~.html,广州  
美的it,10000人以上,计算机软件,,郑女士,20-30K,高级交互设计师,/job_detail/b52005ea80beaf571XV40tm6GFM~.html,广州  
网易游戏,10000人以上,游戏,,招聘HR,20-40K,手游开发工程师（服务端，广州，奇点事业部）,/job_detail/cadfaa3c178cf2581Hdz3N-_GVs~.html,广州 天河区 珠江新城
网易游戏,10000人以上,游戏,,招聘HR,20-40K,客户端开发工程师（广州，梦幻事业部）,/job_detail/16851cace46834091Hdz3N-9FVs~.html,广州 天河区 珠江新城
联通(广东)产业互联网,500-999人,移动互联网,,吕先生,20-40K,通信开放事业部大数据工程师,/job_detail/770343cca2ab71ce1H1829y4EFo~.html,广州 天河区 石牌
网易,10000人以上,移动互联网,,杨女士,20-40K,3D场景设计师,/job_detail/19959866d7439c9a1HN83Ny5EVc~.html,广州  
今日头条,10000人以上,移动互联网,,朱先生,20-40K,后台开发工程师Golang(广州),/job_detail/f2130f61746f10291HZ82dy8GVM~.html,广州 天河区 猎德
BIGO,1000-9999人,移动互联网,,米女士,31-40K,CDN开发工程师,/job_detail/b22b3eb6450b73fc1Xx83dW1EFA~.html,广州  
三七互娱,1000-9999人,移动互联网,,廖女士,25-50K,算法工程师,/job_detail/95cf130a5204062c1HZ9096-EVE~.html,广州 天河区 员村
三七互娱,1000-9999人,移动互联网,,郭女士,20-35K,u3d主程,/job_detail/72d3baf3cf77569f1XZ829i0FlY~.html,广州 天河区 员村
美的it,10000人以上,计算机软件,,郑女士,30-40K,工业大数据分析专家,/job_detail/bb257fc1e583fe7703Vz3N-1E1s~.html,广州  
酷狗音乐,1000-9999人,互联网,,张先生,20-30K·16薪,高级数据分析师,/job_detail/6cd1e56659e19e3803R63924FFU~.html,广州 天河区 棠下
国地科技,500-999人,政府/公共事业,,谭女士,20-30K,研发总监,/job_detail/8df9b02e4419dcc21HZ70tu_Elo~.html,广州 天河区 五山
酷狗音乐,1000-9999人,互联网,,梁女士,25-40K,产品经理,/job_detail/01fb0956e202b0db1HN43t-5F1c~.html,广州 天河区 棠下
